song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
77,187613,0.0938,0.5670000000,0.7950000000,0.0000000000,9,0.1140000000,-4.9850000000,0,0.1340000000,170.0600000000,4,0.6350000000
79,233933,0.00664,0.5450000000,0.8650000000,0.0000112000,11,0.1680000000,-5.7080000000,0,0.0286000000,99.0100000000,4,0.5430000000
69,231533,0.0014,0.3090000000,0.9120000000,0.0002710000,4,0.5820000000,-3.8810000000,0,0.0646000000,183.0350000000,3,0.3020000000
79,230760,0.00552,0.2760000000,0.7150000000,0.0004170000,0,0.2010000000,-5.3560000000,1,0.0432000000,137.0280000000,4,0.1730000000
13,255066,0.0137,0.5180000000,0.5380000000,0.0003980000,0,0.1410000000,-5.8180000000,1,0.0486000000,170.9530000000,4,0.6870000000
62,195666,0.0171,0.5800000000,0.9810000000,0.0000107000,8,0.3860000000,-2.6030000000,0,0.0600000000,134.0070000000,4,0.8610000000
77,304840,0.000202,0.6020000000,0.9050000000,0.0640000000,2,0.1170000000,-4.0460000000,1,0.0775000000,128.0190000000,4,0.4110000000
79,232533,0.872,0.6570000000,0.2910000000,0.0000000000,2,0.1140000000,-10.5720000000,1,0.0293000000,103.9730000000,4,0.2980000000
28,303920,0.0102,0.4400000000,0.9320000000,0.0000000000,3,0.1420000000,-4.4880000000,0,0.0584000000,157.4380000000,4,0.4950000000
78,176346,2.64e-05,0.3800000000,0.9880000000,0.0000786000,1,0.3680000000,-2.0420000000,1,0.0639000000,186.1130000000,4,0.7690000000
77,311106,0.000289,0.2170000000,0.9050000000,0.0001100000,2,0.2220000000,-4.1030000000,1,0.0752000000,96.9500000000,4,0.2360000000
71,213106,0.0156,0.7140000000,0.7250000000,0.0000000000,4,0.0726000000,-6.4110000000,1,0.0402000000,99.9880000000,4,0.5900000000
11,262733,0.000194,0.5820000000,0.5970000000,0.0002730000,5,0.5170000000,-5.6710000000,1,0.0512000000,167.7380000000,4,0.6740000000
77,293960,0.00797,0.6140000000,0.5680000000,0.0000000000,7,0.0997000000,-5.4770000000,0,0.0276000000,107.8490000000,4,0.5160000000
65,264706,0.0018899999999999,0.5090000000,0.7740000000,0.0005490000,6,0.1430000000,-4.0540000000,1,0.0338000000,116.5290000000,4,0.0824000000
75,231480,0.00461,0.4980000000,0.8300000000,0.0000000000,6,0.1390000000,-5.1570000000,0,0.0421000000,89.3420000000,4,0.4530000000
74,213760,0.00506,0.5990000000,0.9320000000,0.0000000000,9,0.2690000000,-3.3280000000,1,0.1800000000,96.2340000000,4,0.6920000000
74,178266,0.000618,0.5740000000,0.9110000000,0.0000000000,9,0.0769000000,-5.1760000000,1,0.0715000000,98.0750000000,4,0.5730000000
11,269373,0.000917,0.4330000000,0.9590000000,0.0000000000,9,0.0280000000,-4.0400000000,1,0.0431000000,172.9840000000,4,0.3650000000
73,242280,0.00164,0.5490000000,0.9300000000,0.0000667000,5,0.3900000000,-3.4680000000,0,0.0487000000,112.4470000000,4,0.5260000000
74,201960,0.00347,0.6560000000,0.9320000000,0.0014700000,4,0.1440000000,-3.4050000000,0,0.0708000000,130.9360000000,4,0.5440000000
79,229093,0.00898,0.4990000000,0.8240000000,0.0000000000,7,0.1630000000,-4.7410000000,1,0.0794000000,161.9770000000,4,0.6990000000
70,193373,0.0223,0.6240000000,0.8990000000,0.0001550000,0,0.0975000000,-5.7100000000,1,0.0295000000,104.0550000000,4,0.7970000000
60,282946,0.0417,0.5450000000,0.7530000000,0.0000000000,3,0.3890000000,-4.6180000000,0,0.0360000000,105.7540000000,4,0.4340000000
69,200546,5.53e-05,0.3740000000,0.9610000000,0.0834000000,10,0.1380000000,-4.4210000000,0,0.0851000000,167.0320000000,4,0.3570000000
73,279213,0.000996,0.6950000000,0.8760000000,0.0000068900,3,0.1060000000,-4.2620000000,0,0.0553000000,89.9540000000,4,0.9410000000
62,212733,0.0006309999999999,0.2460000000,0.7680000000,0.3010000000,9,0.1020000000,-7.4800000000,1,0.0387000000,169.8730000000,4,0.3500000000
72,256240,0.00834,0.5630000000,0.8600000000,0.0106000000,8,0.3900000000,-7.5330000000,1,0.0621000000,97.8670000000,4,0.5170000000
57,194520,0.000153,0.3910000000,0.8310000000,0.0019200000,2,0.1410000000,-3.8920000000,1,0.0613000000,139.9460000000,4,0.6830000000
71,206586,0.000213,0.3090000000,0.8750000000,0.0016800000,1,0.1130000000,-4.4900000000,1,0.0488000000,143.5260000000,4,0.7250000000
63,173680,0.00225,0.5350000000,0.9480000000,0.0000000000,6,0.3760000000,-4.1900000000,0,0.0356000000,103.1830000000,4,0.7780000000
64,215266,0.0132,0.5240000000,0.5780000000,0.0092100000,9,0.1080000000,-4.5630000000,1,0.1200000000,123.6690000000,4,0.5370000000
71,270920,0.00014,0.4680000000,0.7690000000,0.0012400000,4,0.2710000000,-7.0360000000,1,0.0410000000,104.1020000000,4,0.1700000000
61,175026,0.000295,0.5920000000,0.9320000000,0.0000759000,6,0.1380000000,-4.4910000000,0,0.0885000000,93.6750000000,4,0.6980000000
67,246040,4.78e-05,0.2130000000,0.9300000000,0.0000000000,0,0.1260000000,-4.4780000000,1,0.0671000000,169.2210000000,4,0.3860000000
63,176306,5.1e-05,0.2190000000,0.9520000000,0.0989000000,2,0.1570000000,-3.6210000000,1,0.1760000000,112.8860000000,1,0.1720000000
72,277840,0.000336,0.4330000000,0.8540000000,0.0001770000,9,0.1620000000,-3.8680000000,1,0.0483000000,89.4000000000,4,0.3680000000
71,238400,0.000671,0.5090000000,0.8430000000,0.0008030000,1,0.3480000000,-3.3180000000,0,0.0488000000,140.0550000000,3,0.3320000000
70,207213,0.00018,0.5460000000,0.9590000000,0.0014400000,8,0.0584000000,-4.6640000000,1,0.0820000000,127.8310000000,4,0.4160000000
65,218000,6.94e-06,0.4080000000,0.9650000000,0.0004020000,2,0.1100000000,-4.2320000000,1,0.0500000000,136.0180000000,4,0.3490000000
69,299533,0.000249,0.2690000000,0.8530000000,0.0002460000,7,0.1180000000,-4.6470000000,0,0.0854000000,141.5810000000,4,0.1790000000
66,247266,3.32e-05,0.3650000000,0.8940000000,0.1710000000,11,0.2670000000,-4.6820000000,0,0.0572000000,82.3050000000,3,0.3100000000
94,210367,0.0143,0.8180000000,0.5400000000,0.0005120000,6,0.0990000000,-6.3500000000,0,0.0544000000,97.0640000000,4,0.1740000000
98,212500,0.153,0.8410000000,0.7980000000,0.0000033300,1,0.0618000000,-4.2060000000,0,0.2290000000,95.9480000000,4,0.5910000000
59,185282,0.0983,0.8300000000,0.4970000000,0.0000000000,1,0.0906000000,-6.9400000000,1,0.0520000000,127.9650000000,4,0.6340000000
73,199230,0.0557,0.6870000000,0.7660000000,0.0010700000,11,0.1460000000,-6.0800000000,1,0.0540000000,94.9730000000,4,0.3030000000
94,180000,0.346,0.6380000000,0.7170000000,0.0000000000,2,0.1050000000,-4.7220000000,1,0.0337000000,100.0270000000,4,0.2490000000
87,179693,0.352,0.7460000000,0.7030000000,0.0000000000,4,0.3310000000,-4.1790000000,0,0.1070000000,166.0430000000,4,0.6670000000
73,235720,0.0348,0.8230000000,0.6300000000,0.0000067200,7,0.0964000000,-3.9320000000,1,0.0797000000,100.0400000000,4,0.1840000000
85,223583,0.235,0.7010000000,0.5120000000,0.0000050700,0,0.1350000000,-6.8690000000,0,0.0969000000,91.9470000000,4,0.6630000000
61,243487,0.1169999999999999,0.6950000000,0.8840000000,0.0000000000,0,0.1040000000,-6.2790000000,1,0.1310000000,74.9920000000,4,0.8540000000
58,210865,0.716,0.7220000000,0.5840000000,0.0003210000,11,0.1150000000,-8.4670000000,0,0.3180000000,169.9780000000,4,0.6460000000
92,204664,0.00381,0.8000000000,0.5780000000,0.0000000000,4,0.3590000000,-5.1440000000,0,0.0485000000,143.0100000000,4,0.3670000000
83,215151,0.266,0.8170000000,0.7400000000,0.0000000000,11,0.0992000000,-4.5660000000,0,0.2830000000,130.0400000000,4,0.6740000000
57,202373,0.107,0.3980000000,0.6600000000,0.0000000000,1,0.1210000000,-5.6260000000,0,0.1200000000,83.8280000000,4,0.7190000000
44,162733,0.00397,0.8120000000,0.7480000000,0.0000000000,5,0.1740000000,-5.9590000000,0,0.1390000000,132.0350000000,4,0.1580000000
47,157461,0.0526,0.6590000000,0.7340000000,0.0000024800,10,0.2420000000,-4.0080000000,1,0.0460000000,161.9710000000,4,0.3460000000
54,170997,0.2319999999999999,0.7050000000,0.7780000000,0.0000000000,9,0.2440000000,-4.1010000000,0,0.1770000000,160.0990000000,4,0.7090000000
47,188440,0.0255,0.7230000000,0.6870000000,0.0002070000,11,0.1240000000,-4.6320000000,0,0.2000000000,173.7470000000,4,0.7770000000
64,253714,0.0257,0.9280000000,0.4020000000,0.0000000000,8,0.0804000000,-7.5690000000,0,0.4510000000,139.9980000000,4,0.6200000000
56,272000,0.902,0.4650000000,0.6750000000,0.2670000000,10,0.1100000000,-7.5550000000,1,0.0485000000,119.9410000000,4,0.1290000000
49,174000,0.5710000000000001,0.6320000000,0.6520000000,0.8500000000,4,0.1940000000,-10.5580000000,1,0.0302000000,115.0310000000,4,0.5940000000
65,209573,0.921,0.4710000000,0.1790000000,0.0000000000,9,0.1010000000,-10.2730000000,1,0.0890000000,174.2730000000,4,0.1940000000
52,202754,0.0857,0.8710000000,0.5450000000,0.0004990000,0,0.0756000000,-6.4660000000,0,0.0625000000,96.0350000000,4,0.4150000000
61,178009,0.0646,0.8290000000,0.6060000000,0.3910000000,5,0.2810000000,-7.0930000000,1,0.1490000000,118.0510000000,4,0.7320000000
65,169251,0.149,0.8370000000,0.6490000000,0.0000763000,11,0.1030000000,-5.2600000000,0,0.1920000000,164.0020000000,4,0.9480000000
77,220826,0.1369999999999999,0.8170000000,0.6350000000,0.0000078500,5,0.2450000000,-5.7190000000,0,0.1380000000,103.0290000000,4,0.7770000000
95,217822,0.172,0.6350000000,0.9020000000,0.0000000000,0,0.1250000000,-3.5590000000,1,0.1090000000,102.0630000000,4,0.2860000000
95,253390,0.099,0.8160000000,0.7260000000,0.0000000000,5,0.3720000000,-3.9980000000,0,0.1290000000,136.0480000000,4,0.6500000000
74,217652,0.267,0.8150000000,0.6260000000,0.0000131000,6,0.2750000000,-5.1390000000,1,0.1030000000,109.9890000000,4,0.5710000000
77,199095,0.3979999999999999,0.7510000000,0.5790000000,0.0000228000,2,0.1330000000,-4.0360000000,1,0.0321000000,105.0310000000,4,0.3490000000
45,185743,0.0749,0.7360000000,0.9060000000,0.0001230000,4,0.1200000000,-1.4900000000,0,0.0566000000,93.0130000000,4,0.6110000000
52,166253,0.00245,0.6950000000,0.8180000000,0.0000033600,6,0.3050000000,-5.5320000000,0,0.0482000000,102.9760000000,4,0.5990000000
38,234373,0.00323,0.5430000000,0.8470000000,0.0000000000,9,0.0551000000,-3.5740000000,1,0.0659000000,92.0460000000,4,0.6500000000
46,193846,0.271,0.8410000000,0.8410000000,0.0000260000,9,0.1080000000,-4.2880000000,1,0.0633000000,104.0100000000,4,0.8230000000
44,208800,0.425,0.7770000000,0.5460000000,0.0000000000,7,0.0809000000,-9.5040000000,1,0.2070000000,147.1730000000,4,0.9520000000
75,211437,0.102,0.8400000000,0.7890000000,0.0000000000,1,0.3090000000,-4.6950000000,0,0.0949000000,92.0180000000,4,0.6190000000
75,202853,0.181,0.8310000000,0.7130000000,0.0000000000,1,0.0572000000,-3.6460000000,0,0.0940000000,132.1090000000,4,0.6900000000
45,198386,0.0797,0.8250000000,0.4810000000,0.0000000000,2,0.2390000000,-8.6000000000,1,0.0396000000,121.0460000000,4,0.7610000000
53,224413,0.235,0.6820000000,0.7510000000,0.0000000000,8,0.1100000000,-5.8120000000,0,0.0675000000,129.9370000000,4,0.7080000000
38,218448,0.00694,0.7990000000,0.6160000000,0.0023700000,5,0.2830000000,-4.5990000000,0,0.0415000000,127.0230000000,4,0.6970000000
60,176702,0.196,0.9210000000,0.9650000000,0.0002010000,1,0.3230000000,-1.3960000000,1,0.1780000000,120.9020000000,4,0.5070000000
39,133120,0.108,0.7030000000,0.6170000000,0.0000561000,7,0.2710000000,-8.7320000000,1,0.0731000000,123.1590000000,4,0.4350000000
88,201526,0.165,0.7920000000,0.8950000000,0.0000000000,1,0.0501000000,-3.1120000000,0,0.0589000000,94.9680000000,4,0.7940000000
77,216689,0.0983,0.5960000000,0.5570000000,0.0000000000,1,0.0565000000,-7.5220000000,0,0.1340000000,133.2470000000,5,0.6610000000
68,226183,0.0705,0.7460000000,0.7380000000,0.0000000000,9,0.0430000000,-3.6700000000,1,0.2070000000,94.8080000000,4,0.6300000000
46,215003,0.0079,0.4930000000,0.8250000000,0.0000000000,8,0.1290000000,-4.0560000000,1,0.0798000000,99.8660000000,4,0.6210000000
44,175239,0.0429,0.8360000000,0.7250000000,0.0000000000,7,0.1080000000,-5.4450000000,0,0.0571000000,126.0350000000,4,0.7600000000
37,161093,0.00436,0.7010000000,0.7790000000,0.0000000000,11,0.1210000000,-4.6570000000,0,0.0647000000,119.9740000000,4,0.4510000000
53,182224,0.149,0.8710000000,0.5630000000,0.0000000000,10,0.0568000000,-8.3290000000,0,0.0795000000,91.9980000000,4,0.6200000000
65,215421,0.0507,0.6500000000,0.8010000000,0.0000000000,7,0.0645000000,-5.4070000000,0,0.0723000000,166.1600000000,4,0.7400000000
68,196018,0.265,0.7840000000,0.4370000000,0.0000698000,5,0.1260000000,-7.8680000000,1,0.0509000000,90.0030000000,4,0.4700000000
59,204453,0.133,0.4940000000,0.7290000000,0.0000000000,2,0.1430000000,-4.9340000000,1,0.1610000000,78.8330000000,4,0.4210000000
43,229038,0.0199,0.5610000000,0.5800000000,0.0000000000,5,0.0619000000,-5.6120000000,1,0.0414000000,84.9800000000,4,0.2940000000
53,191906,0.369,0.4830000000,0.6850000000,0.0000000000,10,0.0817000000,-3.2320000000,0,0.1740000000,185.5020000000,4,0.5460000000
54,237860,0.0762,0.6200000000,0.8230000000,0.0000313000,5,0.1120000000,-2.4360000000,1,0.0567000000,175.9210000000,4,0.4040000000
84,217288,0.0185,0.7040000000,0.8590000000,0.0000000000,5,0.0215000000,-4.8770000000,0,0.0996000000,105.1150000000,4,0.9260000000
44,202574,0.586,0.6330000000,0.7650000000,0.0000689000,1,0.0966000000,-5.7320000000,1,0.0474000000,100.9340000000,4,0.4890000000
40,167823,0.569,0.8530000000,0.7140000000,0.0101000000,7,0.0716000000,-6.1770000000,1,0.0767000000,92.3750000000,4,0.8360000000
41,241135,0.0652,0.8000000000,0.8370000000,0.0000452000,7,0.0699000000,-4.4880000000,1,0.0990000000,105.0260000000,4,0.8130000000
37,194011,0.118,0.7430000000,0.7930000000,0.0000607000,2,0.2270000000,-5.0320000000,0,0.0546000000,109.9210000000,4,0.4340000000
79,236133,0.00249,0.6460000000,0.7700000000,0.0000000000,2,0.0715000000,-6.5960000000,0,0.2260000000,99.1650000000,4,0.6810000000
74,267266,0.2019999999999999,0.8910000000,0.7140000000,0.0002340000,4,0.0521000000,-6.0550000000,0,0.1400000000,100.9720000000,4,0.8180000000
10,241933,0.159,0.7450000000,0.6660000000,0.0000000000,9,0.3020000000,-5.8990000000,1,0.0566000000,129.9950000000,4,0.7080000000
60,198813,0.0279,0.7740000000,0.8470000000,0.0183000000,5,0.2410000000,-3.9250000000,0,0.1210000000,143.0110000000,4,0.9230000000
70,300026,0.342,0.6720000000,0.8320000000,0.0004280000,11,0.2420000000,-2.3880000000,0,0.3420000000,117.2980000000,4,0.5490000000
79,250373,0.0183,0.8940000000,0.7910000000,0.0000000000,2,0.0388000000,-4.6990000000,1,0.1120000000,105.0180000000,4,0.5830000000
76,338853,0.071,0.3750000000,0.8620000000,0.0000000000,11,0.2110000000,-3.3630000000,0,0.2550000000,159.8410000000,4,0.4780000000
84,218093,0.284,0.7780000000,0.8240000000,0.0000000000,10,0.4050000000,-5.8920000000,0,0.0712000000,100.0240000000,4,0.7560000000
77,216666,0.217,0.6750000000,0.8850000000,0.0000000000,1,0.0860000000,-4.4320000000,0,0.0436000000,97.0300000000,4,0.7680000000
84,239600,0.145,0.7330000000,0.7100000000,0.1150000000,5,0.0956000000,-5.8490000000,0,0.0292000000,127.9750000000,4,0.9650000000
74,246026,0.132,0.7750000000,0.7190000000,0.0000017900,7,0.0662000000,-6.2120000000,0,0.0435000000,117.5130000000,4,0.7120000000
73,202533,0.0653,0.4210000000,0.8730000000,0.0000000000,10,0.1230000000,-4.3430000000,1,0.0565000000,84.8030000000,4,0.6300000000
85,269560,0.922,0.4220000000,0.2640000000,0.0000000000,8,0.1320000000,-7.0640000000,1,0.0322000000,119.9300000000,4,0.3310000000
78,259933,0.154,0.4680000000,0.6400000000,0.0000000000,0,0.1540000000,-5.8620000000,1,0.0275000000,79.2970000000,4,0.4990000000
78,231240,0.00882,0.6130000000,0.6220000000,0.0000000000,1,0.3700000000,-5.7940000000,0,0.0334000000,80.0030000000,4,0.4840000000
69,245960,0.235,0.4350000000,0.9200000000,0.0003530000,4,0.5520000000,-1.3570000000,0,0.2010000000,188.8990000000,4,0.4500000000
75,188960,0.00165,0.6620000000,0.7410000000,0.0303000000,0,0.1140000000,-5.4060000000,1,0.0334000000,131.0000000000,4,0.4040000000
76,235213,0.103,0.7280000000,0.9740000000,0.0005320000,4,0.1750000000,-2.2610000000,0,0.0665000000,79.5260000000,4,0.9650000000
71,199693,0.0746,0.7550000000,0.8320000000,0.0000012700,2,0.2910000000,-2.7410000000,0,0.1160000000,120.0320000000,4,0.7350000000
71,223933,0.0439,0.7640000000,0.6940000000,0.0000036700,11,0.1800000000,-5.7450000000,0,0.1890000000,146.0750000000,4,0.5810000000
77,242733,0.0584,0.9670000000,0.5830000000,0.0000000000,7,0.0519000000,-5.5620000000,0,0.0789000000,117.0000000000,4,0.9640000000
69,252160,0.143,0.6590000000,0.6960000000,0.0000000000,3,0.1300000000,-4.2910000000,1,0.0710000000,86.0010000000,4,0.6650000000
76,261426,0.173,0.6300000000,0.6980000000,0.0000000000,10,0.0789000000,-4.5100000000,1,0.0244000000,94.0230000000,4,0.5290000000
65,237120,0.0142,0.8240000000,0.7430000000,0.0000212000,2,0.2370000000,-5.9950000000,1,0.1410000000,127.0460000000,4,0.8040000000
73,200400,0.031,0.6100000000,0.9260000000,0.0012000000,8,0.0821000000,-4.8430000000,0,0.0479000000,172.6380000000,4,0.8610000000
77,244506,0.0572,0.5850000000,0.7760000000,0.0000077400,5,0.3000000000,-5.8980000000,1,0.0459000000,77.9870000000,4,0.4270000000
80,256733,0.235,0.6560000000,0.5780000000,0.0000000000,7,0.1180000000,-8.9700000000,0,0.0922000000,94.5140000000,4,0.5560000000
73,238560,0.578,0.4570000000,0.5730000000,0.0000030500,5,0.1140000000,-3.8660000000,0,0.0275000000,76.1930000000,4,0.0992000000
54,203306,0.00611,0.7010000000,0.7000000000,0.0000000000,7,0.0295000000,-4.9340000000,1,0.0876000000,122.0350000000,4,0.6250000000
75,204160,0.0295,0.5810000000,0.9630000000,0.0000000000,11,0.1390000000,-4.0870000000,1,0.0981000000,129.9920000000,4,0.7880000000
69,198053,0.00761,0.7290000000,0.7710000000,0.0000000000,4,0.0870000000,-2.4510000000,1,0.0725000000,125.0110000000,4,0.8730000000
79,253813,0.03,0.6490000000,0.5520000000,0.0000064700,1,0.1110000000,-5.4190000000,0,0.0292000000,89.9690000000,4,0.1580000000
67,204000,6.790000000000001e-05,0.4870000000,0.9000000000,0.0000000000,0,0.3580000000,-4.4170000000,1,0.0482000000,149.9370000000,4,0.4840000000
76,224400,0.073,0.7240000000,0.6950000000,0.0000000000,11,0.0889000000,-5.2260000000,1,0.0622000000,139.0000000000,4,0.2350000000
75,252306,0.192,0.6710000000,0.9390000000,0.0000000000,8,0.2980000000,-3.2060000000,1,0.1610000000,129.0230000000,4,0.5290000000
72,193213,0.0383,0.4260000000,0.5840000000,0.0000000000,1,0.1880000000,-5.2930000000,1,0.2960000000,193.4370000000,4,0.2720000000
81,262466,0.188,0.6380000000,0.6560000000,0.0000000000,5,0.1460000000,-5.8860000000,1,0.0357000000,104.0360000000,4,0.2250000000
63,242013,0.00727,0.8140000000,0.8990000000,0.2190000000,1,0.0979000000,-5.9580000000,1,0.0637000000,119.0110000000,4,0.5450000000
77,258826,0.0208,0.5830000000,0.7860000000,0.0000000000,2,0.1880000000,-3.1420000000,0,0.0301000000,123.0520000000,4,0.5730000000
78,270506,0.142,0.8430000000,0.8050000000,0.0000000000,4,0.0771000000,-5.9460000000,0,0.2690000000,94.9460000000,4,0.6150000000
72,211920,0.00498,0.7110000000,0.7000000000,0.0001250000,1,0.2150000000,-4.8050000000,0,0.0460000000,128.0010000000,4,0.8010000000
62,254040,0.0533,0.5240000000,0.9040000000,0.0000000000,8,0.7760000000,-2.0710000000,1,0.3980000000,161.1880000000,4,0.6550000000
77,211160,0.3,0.7510000000,0.8340000000,0.0000177000,1,0.3550000000,-5.4440000000,0,0.0437000000,95.0530000000,4,0.8940000000
77,288333,0.575,0.6240000000,0.6530000000,0.0000000000,8,0.1040000000,-6.5820000000,0,0.1760000000,73.8840000000,4,0.5650000000
77,248413,0.0426,0.7940000000,0.8110000000,0.0000010700,6,0.1010000000,-8.9660000000,0,0.0380000000,116.0470000000,4,0.8620000000
75,249533,0.0161,0.6800000000,0.6870000000,0.0000000000,9,0.2610000000,-6.1620000000,0,0.0709000000,150.0530000000,4,0.4670000000
78,203786,0.042,0.9440000000,0.5110000000,0.0010700000,5,0.0379000000,-10.9600000000,0,0.1610000000,113.0460000000,4,0.8420000000
77,259333,0.00577,0.7060000000,0.8010000000,0.0000000000,5,0.0822000000,-6.3330000000,1,0.0399000000,100.0130000000,4,0.6300000000
74,221360,0.407,0.5300000000,0.4220000000,0.0000000000,5,0.1070000000,-6.2620000000,1,0.0342000000,119.9640000000,4,0.3490000000
65,215160,0.000304,0.5350000000,0.8860000000,0.0000022600,11,0.2570000000,-3.1060000000,1,0.0450000000,126.0120000000,4,0.4450000000
76,196160,0.236,0.7930000000,0.8320000000,0.0000112000,1,0.2020000000,-4.8620000000,0,0.0406000000,107.6610000000,4,0.8720000000
69,244826,0.0825,0.6550000000,0.4880000000,0.0000011600,1,0.2210000000,-9.1700000000,1,0.2200000000,91.0250000000,4,0.7910000000
67,192426,0.0407,0.6360000000,0.8730000000,0.0000012700,0,0.0372000000,-4.6720000000,0,0.0710000000,165.0710000000,4,0.9080000000
77,223440,0.257,0.6620000000,0.5070000000,0.0000000000,5,0.0465000000,-8.2380000000,1,0.1180000000,86.4120000000,4,0.6760000000
81,203346,0.00172,0.5420000000,0.9050000000,0.0104000000,9,0.1360000000,-5.6530000000,1,0.0540000000,153.3980000000,4,0.3740000000
52,221920,0.0411,0.5550000000,0.9230000000,0.0000000000,0,0.1120000000,-5.9080000000,1,0.0482000000,116.0120000000,4,0.6820000000
60,236373,0.0204,0.5910000000,0.6990000000,0.0000000000,8,0.0614000000,-5.2210000000,1,0.0449000000,116.0290000000,4,0.7330000000
65,252853,0.0328,0.3960000000,0.6290000000,0.0000000000,9,0.1830000000,-4.7800000000,1,0.0287000000,173.7940000000,4,0.3580000000
69,216600,0.0007379999999999,0.5600000000,0.9590000000,0.0002060000,7,0.2090000000,-2.4330000000,1,0.1020000000,163.9830000000,4,0.6700000000
76,210200,0.263,0.6530000000,0.6090000000,0.0010100000,11,0.2330000000,-7.5190000000,0,0.0370000000,95.9820000000,3,0.4820000000
79,230760,0.00552,0.2760000000,0.7150000000,0.0004170000,0,0.2010000000,-5.3560000000,1,0.0432000000,137.0280000000,4,0.1730000000
83,262533,0.2689999999999999,0.6400000000,0.7430000000,0.0000000000,10,0.1010000000,-4.0800000000,1,0.0379000000,122.0350000000,4,0.3610000000
69,218520,0.255,0.6300000000,0.8940000000,0.0000000000,10,0.1810000000,-4.5920000000,1,0.0544000000,142.0510000000,4,0.3640000000
73,199946,0.271,0.5190000000,0.7490000000,0.0000000000,6,0.1190000000,-3.3180000000,0,0.0405000000,147.9050000000,4,0.2900000000
72,298853,0.107,0.6400000000,0.8890000000,0.0000000000,2,0.3390000000,-3.0730000000,1,0.3220000000,99.9310000000,4,0.4360000000
31,224946,0.0251,0.8150000000,0.8080000000,0.0000053700,6,0.1200000000,-4.6140000000,1,0.0511000000,110.0630000000,4,0.7460000000
81,228706,0.603,0.6090000000,0.4450000000,0.0000067700,7,0.1040000000,-9.1290000000,1,0.1060000000,118.3930000000,3,0.1660000000
67,209360,0.0392,0.5510000000,0.6960000000,0.0000000000,2,0.1270000000,-6.1920000000,1,0.0265000000,112.0240000000,4,0.3540000000
76,241853,0.0187,0.3380000000,0.8030000000,0.0000000000,8,0.1360000000,-5.4120000000,0,0.0413000000,151.9940000000,4,0.4000000000
63,221626,0.3879999999999999,0.5170000000,0.5980000000,0.0000022200,6,0.1830000000,-3.7510000000,0,0.2630000000,96.9330000000,4,0.9220000000
